simulation,station,station_name,passenger_id,arrival_time,urgency,aggressiveness,platform_position,preferred_carriage,seat_acquired,boarding_time,standing_time,journey_time,crowding_level,peak_period,crowding_category
1,Alandur,Alandur (Interchange),1,1,0.1458399767323124,3.3398550526201016,Left,1,1,1.3788125232195902,0.0,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),2,1,0.47827822970649575,4.196909326240875,Center,2,1,1.6178902798481136,0.0,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),3,2,0.13728327641819368,4.952321177141648,Left,4,0,1.4307728896819638,32.593495563222724,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),4,7,0.43972560208500217,1.1040324583248524,Right,6,0,2.499907019319917,6.649432721477005,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),5,9,0.3259645156513243,4.739954599928902,Left,5,0,2.0784262319665214,15.063084939647812,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),6,11,0.059328709783966656,4.123614118176632,Right,4,0,2.0164664549924884,13.743658390838092,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),7,14,0.42179698614580013,3.5876573911006986,Left,6,0,2.125461614425674,36.63855326817717,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),8,15,0.5046332907673633,0.6479798541117765,Center,2,0,2.6423426644767267,16.834171514247227,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),9,16,0.16941835503626496,3.310512296276629,Left,6,0,1.612381146332627,19.545592494927995,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),10,17,0.3009535255073966,1.549135123718336,Right,4,0,2.726718492125162,9.510186934492568,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),11,18,0.46304326656801803,4.979662156820488,Left,3,0,2.0496667663184693,32.24440011701651,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),12,19,0.27184262023192035,4.908083841329209,Center,4,1,2.4366724343004,0.0,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),13,22,0.0673643667188863,3.2805210556802784,Center,6,0,1.4786734491578784,47.60239550984232,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),14,22,0.27238639366693634,3.1069990365385136,Left,2,0,2.3642901778915224,25.43560077272793,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),15,22,0.03521643649477292,0.08003066956868421,Left,1,0,1.594748001484854,101.08098067948296,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),16,25,0.4242646396910925,2.2075014427537147,Left,2,0,1.7148722981402993,98.9729737176184,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),17,26,0.16810998507688904,3.2628144584151464,Left,2,1,1.9984656028099899,0.0,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),18,27,0.25581690627546005,4.911744667864327,Center,4,1,1.318852523281553,0.0,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),19,28,0.3376814324852645,0.5785479543543876,Right,3,0,1.7494095781900882,47.77918419676988,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),20,31,0.2107688352337246,2.870099014983584,Center,3,0,2.4984650888500783,42.46270103522391,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),21,31,0.5183520653460078,2.9299773364610253,Center,1,0,1.577087232288383,10.487109889668874,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),22,33,0.1559712232241775,2.269064473077893,Left,6,0,2.0089576061493863,3.495312036472432,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),23,35,0.1374472950335785,0.32295456457128946,Center,2,1,2.065151014675029,0.0,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),24,37,0.05585361110876318,1.4955347266177976,Left,5,0,2.633974787308624,30.186637754930306,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),25,39,0.36479596680924636,3.2203665773749988,Center,5,1,1.482123230163237,0.0,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),26,40,0.2799451622154608,4.712492704253038,Left,4,0,2.3460834988428605,3.548734176219246,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),27,42,0.6299823570057899,3.7975713839040526,Center,3,0,2.13346482442865,54.36167363080363,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),28,43,0.11014671293072807,2.3269745078655806,Center,6,0,2.2651725751402103,33.338398849209945,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),29,45,0.02488037348031709,4.045359475205698,Left,6,1,1.1219684989577952,0.0,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),30,46,0.3043357149797246,2.6542771745137275,Right,1,0,1.4872520236252154,1.4688529310760268,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),31,46,0.17889563011300097,2.7676859309521307,Left,2,0,1.3231523088278947,15.845005744575758,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),32,46,0.32096583157969955,0.03061113938660931,Right,1,1,2.561675885974461,0.0,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),33,50,0.13098113633095151,0.3404680293162726,Right,2,0,2.2438323774535767,1.8049253735582742,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),34,51,0.09087164207341103,3.482332152529479,Center,2,1,1.7792291265630116,0.0,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),35,52,0.33458941367468525,1.6478072867169602,Right,1,0,2.2499722472070642,41.59297823644306,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),36,52,0.47121170517408006,0.13703354631515452,Center,6,0,2.686925393012827,7.253552198639849,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),37,53,0.27519958651280857,2.1326307543946363,Center,4,0,1.9130711642434592,11.791444471555486,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),38,55,0.35912027780454836,4.226734924408341,Left,2,0,2.442028081975465,5.28471664271147,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),39,57,0.31898675448796193,3.034981070406542,Left,4,1,2.3579244824939267,0.0,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),40,60,0.5487944279920228,1.6699087130024215,Right,4,0,1.7218419665507723,19.196434165206988,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),41,60,0.09897267701209604,2.945551876730372,Left,6,1,1.6749564706211852,0.0,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),42,60,0.28130506313046916,3.2285567533537307,Right,2,1,1.5051582581325447,0.0,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),43,60,0.20577275144072488,1.1762966553717957,Center,4,1,1.884068415317365,0.0,25,0.7,morning,Low (60-70%)
1,Alandur,Alandur (Interchange),44,62,0.13065168307071584,2.196532287441842,Right,2,1,1.7115119035107897,0.0,25,0.7,morning,Low (60-70%)
